"Cell"	"Batch"	"Group"	"ExpLibSize"
"Cell800"	"Cell800"	"Batch2"	"Group2"	40462.6527067419
"Cell801"	"Cell801"	"Batch2"	"Group1"	62485.0336909432
"Cell802"	"Cell802"	"Batch2"	"Group1"	60178.3043824717
"Cell803"	"Cell803"	"Batch2"	"Group2"	78669.0142906406
"Cell804"	"Cell804"	"Batch2"	"Group2"	63463.4076721271
"Cell805"	"Cell805"	"Batch2"	"Group2"	70223.8685616658
"Cell806"	"Cell806"	"Batch2"	"Group2"	60366.963651581
"Cell807"	"Cell807"	"Batch2"	"Group2"	50834.736541461
"Cell808"	"Cell808"	"Batch2"	"Group2"	63444.9657905839
"Cell809"	"Cell809"	"Batch2"	"Group2"	64084.4755366774
"Cell810"	"Cell810"	"Batch2"	"Group2"	50844.2060931526
"Cell811"	"Cell811"	"Batch2"	"Group2"	59530.8614533706
"Cell812"	"Cell812"	"Batch2"	"Group1"	89335.6881372135
"Cell813"	"Cell813"	"Batch2"	"Group2"	47769.6981403684
"Cell814"	"Cell814"	"Batch2"	"Group2"	80373.1720420366
"Cell815"	"Cell815"	"Batch2"	"Group1"	57215.8488452448
"Cell816"	"Cell816"	"Batch2"	"Group2"	80536.2054346432
"Cell817"	"Cell817"	"Batch2"	"Group1"	50583.9375472158
"Cell818"	"Cell818"	"Batch2"	"Group2"	59086.6881083085
"Cell819"	"Cell819"	"Batch2"	"Group2"	63719.5498610542
"Cell820"	"Cell820"	"Batch2"	"Group2"	58540.9597180969
"Cell821"	"Cell821"	"Batch2"	"Group2"	68305.6501619787
"Cell822"	"Cell822"	"Batch2"	"Group2"	57908.9773044318
"Cell823"	"Cell823"	"Batch2"	"Group2"	76250.1523905331
"Cell824"	"Cell824"	"Batch2"	"Group2"	61950.0619326575
"Cell825"	"Cell825"	"Batch2"	"Group2"	68767.321112363
"Cell826"	"Cell826"	"Batch2"	"Group1"	47235.0089975603
"Cell827"	"Cell827"	"Batch2"	"Group2"	52487.070489624
"Cell828"	"Cell828"	"Batch2"	"Group2"	74451.3811828679
"Cell829"	"Cell829"	"Batch2"	"Group2"	66287.5375708872
"Cell830"	"Cell830"	"Batch2"	"Group2"	58268.6023958237
"Cell831"	"Cell831"	"Batch2"	"Group2"	58585.5555352694
"Cell832"	"Cell832"	"Batch2"	"Group2"	69632.0363002412
"Cell833"	"Cell833"	"Batch2"	"Group2"	57253.1382023659
"Cell834"	"Cell834"	"Batch2"	"Group2"	60778.4785568941
"Cell835"	"Cell835"	"Batch2"	"Group2"	43079.7806501085
"Cell836"	"Cell836"	"Batch2"	"Group2"	85374.4259539117
"Cell837"	"Cell837"	"Batch2"	"Group2"	69786.3410888565
"Cell838"	"Cell838"	"Batch2"	"Group2"	70718.1522018135
"Cell839"	"Cell839"	"Batch2"	"Group1"	40900.9469880694
"Cell840"	"Cell840"	"Batch2"	"Group2"	59625.1452806916
"Cell841"	"Cell841"	"Batch2"	"Group1"	55172.1302234499
"Cell842"	"Cell842"	"Batch2"	"Group1"	45466.1212045769
"Cell843"	"Cell843"	"Batch2"	"Group2"	69250.5298219396
"Cell844"	"Cell844"	"Batch2"	"Group2"	76636.3017189427
"Cell845"	"Cell845"	"Batch2"	"Group2"	53602.7214357223
"Cell846"	"Cell846"	"Batch2"	"Group2"	57191.5800388309
"Cell847"	"Cell847"	"Batch2"	"Group2"	84313.0889109023
"Cell848"	"Cell848"	"Batch2"	"Group2"	43046.5952879592
"Cell849"	"Cell849"	"Batch2"	"Group1"	69483.4696908074
"Cell850"	"Cell850"	"Batch2"	"Group2"	56229.4396099774
"Cell851"	"Cell851"	"Batch2"	"Group2"	58509.1149222281
"Cell852"	"Cell852"	"Batch2"	"Group1"	52987.1723149039
"Cell853"	"Cell853"	"Batch2"	"Group2"	74558.4809631639
"Cell854"	"Cell854"	"Batch2"	"Group2"	47789.7508336753
"Cell855"	"Cell855"	"Batch2"	"Group2"	72585.6046785484
"Cell856"	"Cell856"	"Batch2"	"Group2"	79323.7456274298
"Cell857"	"Cell857"	"Batch2"	"Group2"	43116.8908426132
"Cell858"	"Cell858"	"Batch2"	"Group1"	47792.2686412245
"Cell859"	"Cell859"	"Batch2"	"Group2"	67393.8533463799
"Cell860"	"Cell860"	"Batch2"	"Group1"	49451.0305016587
"Cell861"	"Cell861"	"Batch2"	"Group1"	52140.3303206283
"Cell862"	"Cell862"	"Batch2"	"Group2"	54771.7290478367
"Cell863"	"Cell863"	"Batch2"	"Group2"	55887.8986912476
"Cell864"	"Cell864"	"Batch2"	"Group2"	68922.6153160157
"Cell865"	"Cell865"	"Batch2"	"Group2"	53071.6861253883
"Cell866"	"Cell866"	"Batch2"	"Group1"	60953.7148678109
"Cell867"	"Cell867"	"Batch2"	"Group2"	69390.0613095884
"Cell868"	"Cell868"	"Batch2"	"Group2"	43999.0847296706
"Cell869"	"Cell869"	"Batch2"	"Group2"	52160.1223085471
"Cell870"	"Cell870"	"Batch2"	"Group2"	71108.2535004229
"Cell871"	"Cell871"	"Batch2"	"Group1"	55530.9638775144
"Cell872"	"Cell872"	"Batch2"	"Group1"	36061.5797936947
"Cell873"	"Cell873"	"Batch2"	"Group2"	50434.8737506417
"Cell874"	"Cell874"	"Batch2"	"Group1"	70488.530060381
"Cell875"	"Cell875"	"Batch2"	"Group2"	54977.6610045847
"Cell876"	"Cell876"	"Batch2"	"Group2"	55219.5663318481
"Cell877"	"Cell877"	"Batch2"	"Group2"	58153.7797100544
"Cell878"	"Cell878"	"Batch2"	"Group2"	69140.3152886504
"Cell879"	"Cell879"	"Batch2"	"Group1"	54272.9839822363
"Cell880"	"Cell880"	"Batch2"	"Group2"	65853.7522736354
"Cell881"	"Cell881"	"Batch2"	"Group1"	67146.4096968966
"Cell882"	"Cell882"	"Batch2"	"Group1"	48836.2470945777
"Cell883"	"Cell883"	"Batch2"	"Group2"	59137.7976500365
"Cell884"	"Cell884"	"Batch2"	"Group1"	53762.9033593531
"Cell885"	"Cell885"	"Batch2"	"Group1"	65081.1964345053
"Cell886"	"Cell886"	"Batch2"	"Group2"	44282.4922349403
"Cell887"	"Cell887"	"Batch2"	"Group2"	81457.2796358643
"Cell888"	"Cell888"	"Batch2"	"Group2"	78370.5593813736
"Cell889"	"Cell889"	"Batch2"	"Group1"	50585.934609997
"Cell890"	"Cell890"	"Batch2"	"Group1"	52366.6467077892
"Cell891"	"Cell891"	"Batch2"	"Group2"	49926.2657189757
"Cell892"	"Cell892"	"Batch2"	"Group2"	58261.2142167138
"Cell893"	"Cell893"	"Batch2"	"Group2"	54165.1183486004
"Cell894"	"Cell894"	"Batch2"	"Group2"	61238.2754808749
"Cell895"	"Cell895"	"Batch2"	"Group2"	41149.065135124
"Cell896"	"Cell896"	"Batch2"	"Group1"	61803.1333051832
"Cell897"	"Cell897"	"Batch2"	"Group2"	60060.7923597183
"Cell898"	"Cell898"	"Batch2"	"Group2"	43472.3032652877
"Cell899"	"Cell899"	"Batch2"	"Group1"	63271.7751086009
"Cell900"	"Cell900"	"Batch2"	"Group2"	60535.8195787638
"Cell901"	"Cell901"	"Batch2"	"Group2"	57175.7610140096
"Cell902"	"Cell902"	"Batch2"	"Group2"	59716.0878844447
"Cell903"	"Cell903"	"Batch2"	"Group2"	64665.9352796225
"Cell904"	"Cell904"	"Batch2"	"Group2"	64173.4429832773
"Cell905"	"Cell905"	"Batch2"	"Group2"	54922.4488276838
"Cell906"	"Cell906"	"Batch2"	"Group1"	75360.2787281792
"Cell907"	"Cell907"	"Batch2"	"Group2"	59438.2692531078
"Cell908"	"Cell908"	"Batch2"	"Group2"	58269.8284251447
"Cell909"	"Cell909"	"Batch2"	"Group2"	72324.8900143401
"Cell910"	"Cell910"	"Batch2"	"Group2"	73014.1306783222
"Cell911"	"Cell911"	"Batch2"	"Group2"	52045.1062269018
"Cell912"	"Cell912"	"Batch2"	"Group2"	49108.5417787656
"Cell913"	"Cell913"	"Batch2"	"Group1"	51993.6247698783
"Cell914"	"Cell914"	"Batch2"	"Group1"	47327.4063129539
"Cell915"	"Cell915"	"Batch2"	"Group1"	41930.1580548932
"Cell916"	"Cell916"	"Batch2"	"Group1"	63711.5729719903
"Cell917"	"Cell917"	"Batch2"	"Group1"	58161.4432933618
"Cell918"	"Cell918"	"Batch2"	"Group2"	68084.8466169106
"Cell919"	"Cell919"	"Batch2"	"Group2"	59854.274433365
"Cell920"	"Cell920"	"Batch2"	"Group2"	64979.8559520004
"Cell921"	"Cell921"	"Batch2"	"Group1"	54219.091686262
"Cell922"	"Cell922"	"Batch2"	"Group1"	49413.473466219
"Cell923"	"Cell923"	"Batch2"	"Group1"	69956.3283004311
"Cell924"	"Cell924"	"Batch2"	"Group2"	69718.7188113678
"Cell925"	"Cell925"	"Batch2"	"Group2"	42330.2637043773
"Cell926"	"Cell926"	"Batch2"	"Group1"	71357.5854404847
"Cell927"	"Cell927"	"Batch2"	"Group2"	41995.8344343901
"Cell928"	"Cell928"	"Batch2"	"Group2"	59329.5357970778
"Cell929"	"Cell929"	"Batch2"	"Group2"	55327.5109424862
"Cell930"	"Cell930"	"Batch2"	"Group2"	58360.1601446745
"Cell931"	"Cell931"	"Batch2"	"Group2"	74551.656980464
"Cell932"	"Cell932"	"Batch2"	"Group1"	46581.3920379075
"Cell933"	"Cell933"	"Batch2"	"Group1"	56777.9463639912
"Cell934"	"Cell934"	"Batch2"	"Group1"	99773.7596140013
"Cell935"	"Cell935"	"Batch2"	"Group1"	44548.7216966723
"Cell936"	"Cell936"	"Batch2"	"Group2"	52821.9702492997
"Cell937"	"Cell937"	"Batch2"	"Group2"	59384.5633629042
"Cell938"	"Cell938"	"Batch2"	"Group2"	62317.0687493888
"Cell939"	"Cell939"	"Batch2"	"Group2"	53816.6877830507
"Cell940"	"Cell940"	"Batch2"	"Group1"	56771.7167676992
"Cell941"	"Cell941"	"Batch2"	"Group2"	74371.6100629576
"Cell942"	"Cell942"	"Batch2"	"Group2"	57748.3989433467
"Cell943"	"Cell943"	"Batch2"	"Group2"	62963.537241545
"Cell944"	"Cell944"	"Batch2"	"Group2"	64466.9808584811
"Cell945"	"Cell945"	"Batch2"	"Group1"	64952.1972813261
"Cell946"	"Cell946"	"Batch2"	"Group2"	66072.0441598044
"Cell947"	"Cell947"	"Batch2"	"Group2"	60531.9446739919
"Cell948"	"Cell948"	"Batch2"	"Group1"	51961.8557316985
"Cell949"	"Cell949"	"Batch2"	"Group2"	59180.409737527
"Cell950"	"Cell950"	"Batch2"	"Group2"	49380.7344170827
